Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.25891,7.6292E-06,-0.258762,6.49419E-05,0.099513,-0.0269954,3.95746,0.359364
-0.259194,7.34508E-06,-0.259043,6.51249E-05,0.099513,-0.0269954,3.96535,0.359643
-0.258408,8.13281E-06,-0.258253,6.78137E-05,0.099513,-0.0269954,3.97212,0.358856
-0.258538,8.00256E-06,-0.25838,6.83371E-05,0.099513,-0.0269954,3.9809,0.358983
-0.258782,7.75859E-06,-0.258621,6.85834E-05,0.0997493,-0.0269924,3.98793,0.359458
-0.259009,7.53233E-06,-0.258844,6.88654E-05,0.0997493,-0.0269924,3.99452,0.35968
-0.258073,8.46834E-06,-0.257906,7.19592E-05,0.0997493,-0.0269924,4.00218,0.358744
-0.258181,8.36115E-06,-0.25801,7.25111E-05,0.0997493,-0.0269924,4.00939,0.358847
-0.258502,8.04121E-06,-0.258328,0.000072533,0.0997493,-0.0269924,4.0186,0.359163
-0.258733,7.80963E-06,-0.258556,7.27669E-05,0.0997493,-0.0269924,4.02539,0.359391
-0.25771,8.83231E-06,-0.25753,7.61327E-05,0.0997493,-0.0269924,4.03408,0.358368
-0.257806,8.7374E-06,-0.257622,7.66882E-05,0.0997493,-0.0269924,4.04087,0.358459
-0.258188,8.35666E-06,-0.258001,7.65104E-05,0.0997493,-0.0269924,4.0529,0.358836
-0.257442,9.10069E-06,-0.257252,7.92069E-05,0.100052,-0.0269994,4.05918,0.358392
-0.257549,8.99482E-06,-0.257355,7.97139E-05,0.100052,-0.0269994,4.06687,0.358495
-0.257645,8.89869E-06,-0.257448,8.02408E-05,0.100052,-0.0269994,4.0738,0.358587
-0.257975,8.57059E-06,-0.257774,8.01506E-05,0.100052,-0.0269994,4.08421,0.358912
-0.257108,9.43448E-06,-0.256904,8.31975E-05,0.100052,-0.0269994,4.09121,0.358045
-0.257222,9.32156E-06,-0.257014,8.36554E-05,0.100052,-0.0269994,4.09959,0.358154
-0.257312,9.2316E-06,-0.257101,8.41695E-05,0.100052,-0.0269994,4.1062,0.358241
-0.257625,0.000008921,-0.25741,8.40834E-05,0.100052,-0.0269994,4.11559,0.358548
-0.25677,9.77137E-06,-0.256552,8.71399E-05,0.100317,-0.026968,4.12264,0.357955
-0.256893,9.64964E-06,-0.256672,8.75505E-05,0.100317,-0.026968,4.13067,0.358073
