Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.30551,1.07821E-05,0.00140532,2.58786E-05,0.099513,-0.0269954,4.59446,0.101761
-0.305791,1.04503E-05,0.00127714,0.000023648,0.099513,-0.0269954,4.60264,0.101884
-0.306083,1.01055E-05,0.0012245,2.15682E-05,0.0997493,-0.0269924,4.61081,0.102161
-0.305311,1.10179E-05,0.00160809,0.000028334,0.0997493,-0.0269924,4.61728,0.101793
-0.305452,1.08518E-05,0.00140722,2.69837E-05,0.0997493,-0.0269924,4.62646,0.101986
-0.305725,1.05298E-05,0.00150458,0.000024976,0.0997493,-0.0269924,4.63448,0.101892
-0.305981,0.000010227,0.00154768,2.30798E-05,0.0997493,-0.0269924,4.64204,0.10185
-0.305272,1.10652E-05,0.00193057,2.92456E-05,0.0997493,-0.0269924,4.64801,0.101482
-0.30538,1.09379E-05,0.00176559,2.80908E-05,0.0997493,-0.0269924,4.65649,0.101641
-0.30572,1.05369E-05,0.00161537,2.52414E-05,0.0997493,-0.0269924,4.66643,0.101785
-0.304764,1.16669E-05,0.00204938,0.000033195,0.100052,-0.0269994,4.67448,0.101663
-0.303995,1.25715E-05,0.00214334,3.89519E-05,0.100052,-0.0269994,4.68096,0.101574
-0.304094,1.24559E-05,0.00185004,3.72697E-05,0.100052,-0.0269994,4.6886,0.101856
-0.304413,1.20808E-05,0.00165498,3.41779E-05,0.100052,-0.0269994,4.69782,0.102043
-0.303398,1.32744E-05,0.00208634,4.17511E-05,0.100052,-0.0269994,4.70639,0.10163
-0.303492,1.31648E-05,0.00183019,3.97758E-05,0.100052,-0.0269994,4.71328,0.101876
-0.303583,1.30581E-05,0.00173392,3.81992E-05,0.100052,-0.0269994,4.71996,0.101968
-0.303931,0.00001265,0.00186516,3.64634E-05,0.100052,-0.0269994,4.73035,0.101841
-0.30291,1.38492E-05,0.00243306,4.63504E-05,0.100317,-0.026968,4.73918,0.101543
-0.303009,1.37324E-05,0.00222388,4.60201E-05,0.100317,-0.026968,4.74534,0.101745
-0.3031,1.36267E-05,0.00214804,4.58187E-05,0.100317,-0.026968,4.75122,0.101818
-0.30338,1.32982E-05,0.00204715,0.000043974,0.100317,-0.026968,4.75974,0.101914
-0.302232,1.46437E-05,0.00254969,5.44242E-05,0.100317,-0.026968,4.76957,0.101433
-0.302363,1.44916E-05,0.00225635,5.32673E-05,0.100317,-0.026968,4.77812,0.101715
-0.302576,1.42417E-05,0.00211347,5.16009E-05,0.100317,-0.026968,4.78492,0.101853
-0.301423,1.55903E-05,0.00257704,6.14443E-05,0.100317,-0.026968,4.7946,0.101408
-0.301989,1.49312E-05,0.00210166,5.61516E-05,0.100317,-0.026968,4.80213,0.101865
-0.302619,1.41959E-05,0.00189713,5.09413E-05,0.100581,-0.0269619,4.81035,0.102315
-0.302842,0.000013935,0.0019736,0.000049429,0.100581,-0.0269619,4.81712,0.10224
-0.301671,0.000015306,0.00253093,5.97436E-05,0.100581,-0.0269619,4.8271,0.101706
-0.302268,1.46094E-05,0.00230678,5.46938E-05,0.100581,-0.0269619,4.83399,0.101921
-0.303124,1.36102E-05,0.00212444,4.79637E-05,0.100581,-0.0269619,4.8426,0.102095
-0.303733,1.28965E-05,0.0021477,4.35882E-05,0.100581,-0.0269619,4.84887,0.102071
-0.30264,1.41789E-05,0.00280225,5.36326E-05,0.100581,-0.0269619,4.85824,0.101443
-0.302778,1.40172E-05,0.00258389,5.24809E-05,0.100581,-0.0269619,4.86722,0.101653
-0.303079,1.36651E-05,0.00243965,0.000050167,0.100777,-0.0269818,4.87616,0.101985
-0.302265,1.46187E-05,0.00280782,5.75465E-05,0.100777,-0.0269818,4.88306,0.101632
-0.301237,1.58197E-05,0.003028,6.63459E-05,0.100777,-0.0269818,4.8919,0.101422
-0.301346,1.56927E-05,0.00268076,6.47567E-05,0.100777,-0.0269818,4.89878,0.101757
-0.301656,1.53318E-05,0.0024729,6.17574E-05,0.100777,-0.0269818,4.90817,0.101956
-0.30089,1.62251E-05,0.00280235,6.80318E-05,0.100777,-0.0269818,4.91471,0.10164
-0.299975,1.72888E-05,0.00298351,7.46548E-05,0.100777,-0.0269818,4.92322,0.101467
-0.300125,1.71147E-05,0.00283292,7.10005E-05,0.100777,-0.0269818,4.93022,0.101612
-0.300376,0.000016824,0.00273759,6.72614E-05,0.100777,-0.0269818,4.93785,0.101703
-0.299363,1.79991E-05,0.00318028,7.38393E-05,0.100989,-0.0269757,4.94614,0.10148
-0.299945,1.73263E-05,0.0027439,6.70028E-05,0.100989,-0.0269757,4.95348,0.101899
-0.300293,1.69221E-05,0.00266713,6.30598E-05,0.100989,-0.0269757,4.96326,0.101972
-0.300522,1.66566E-05,0.00268301,6.05186E-05,0.100989,-0.0269757,4.96975,0.101956
-0.299379,1.79847E-05,0.00320875,6.94541E-05,0.100989,-0.0269757,4.97955,0.101451
-0.300038,1.72216E-05,0.00272515,6.26338E-05,0.100989,-0.0269757,4.98683,0.101915
-0.300837,1.62949E-05,0.0024889,5.55022E-05,0.100989,-0.0269757,4.99485,0.102141
-0.301481,0.000015547,0.00245788,5.02061E-05,0.100989,-0.0269757,5.00149,0.10217
-0.300464,1.67316E-05,0.00307593,5.90702E-05,0.101097,-0.0270085,5.0103,0.10169
-0.300582,1.65945E-05,0.00288017,5.76344E-05,0.101097,-0.0270085,5.01741,0.101878
-0.300866,1.62646E-05,0.00274296,5.49835E-05,0.101097,-0.0270085,5.02558,0.10201
-0.301099,0.000015994,0.00281296,5.19607E-05,0.101097,-0.0270085,5.03231,0.101941
-0.300084,1.71752E-05,0.00331277,5.90981E-05,0.101097,-0.0270085,5.04102,0.101462
-0.300673,1.64915E-05,0.00289395,5.24885E-05,0.101097,-0.0270085,5.04856,0.101864
-0.301564,0.000015457,0.00262132,4.42375E-05,0.101097,-0.0270085,5.05706,0.102124
-0.300579,1.66039E-05,0.0032283,5.18447E-05,0.101097,-0.0270085,5.06542,0.101541
-0.300725,1.64352E-05,0.00303032,0.000049379,0.10119,-0.0269859,5.07457,0.101815
-0.300851,1.62884E-05,0.00296255,4.73561E-05,0.10119,-0.0269859,5.0825,0.10188
-0.301633,1.53786E-05,0.00268817,4.01827E-05,0.10119,-0.0269859,5.09075,0.102143
-0.300815,1.63327E-05,0.00319115,4.66214E-05,0.10119,-0.0269859,5.09771,0.101659
-0.300916,1.62147E-05,0.00303297,4.48341E-05,0.10119,-0.0269859,5.10519,0.101811
-0.301859,1.51185E-05,0.00265453,3.64868E-05,0.10119,-0.0269859,5.11418,0.102174
-0.302577,1.42807E-05,0.00259562,3.04957E-05,0.10119,-0.0269859,5.12209,0.102229
-0.301733,1.52677E-05,0.00328319,3.81943E-05,0.10119,-0.0269859,5.12885,0.101568
-0.302212,1.47089E-05,0.00304177,3.43323E-05,0.10119,-0.0269859,5.13513,0.1018
-0.302533,1.43342E-05,0.00301069,0.000032311,0.101337,-0.0269885,5.14452,0.101972
-0.301589,1.54384E-05,0.00347839,4.03019E-05,0.101337,-0.0269885,5.15244,0.101523
-0.300433,1.67852E-05,0.00373437,4.94962E-05,0.101337,-0.0269885,5.16238,0.101279
-0.300739,1.64299E-05,0.00327884,4.62702E-05,0.101337,-0.0269885,5.16863,0.101717
-0.301055,1.60625E-05,0.00310237,4.34689E-05,0.101337,-0.0269885,5.17784,0.101886
-0.300222,0.000017032,0.00347126,5.02575E-05,0.101337,-0.0269885,5.18497,0.101532
-0.300373,1.68563E-05,0.00323762,4.84328E-05,0.101337,-0.0269885,5.19333,0.101757
-0.3005,1.67092E-05,0.00315841,4.70799E-05,0.101337,-0.0269885,5.20028,0.101833
-0.300819,1.63387E-05,0.0030556,4.43432E-05,0.101505,-0.0269983,5.20935,0.102096
-0.299995,1.72963E-05,0.00344996,5.10473E-05,0.101505,-0.0269983,5.21623,0.101717
-0.300663,1.65224E-05,0.00303388,4.50708E-05,0.101505,-0.0269983,5.22443,0.102117
